Price,Close,High,Low,Open,Volume
Ticker,FPT.VN,FPT.VN,FPT.VN,FPT.VN,FPT.VN
Date,,,,,
2018-03-29,18680.76171875,18743.553930794988,18523.78118863753,18649.365612727506,7105740
2018-03-30,19057.517578125,19245.89422132584,18649.36631225248,18712.15852665276,22946466
2018-04-02,19308.685546875,19371.47775838472,19151.7050181007,19308.685546875,7769941
2018-04-03,19214.498046875,19277.29026105551,19120.30972560424,19214.498046875,5216725
2018-04-04,19371.478515625,19716.837564699315,19340.08240864285,19465.668708842124,7013134
2018-04-05,19779.630859375,19999.405492528676,19308.68735664087,19465.669772399433,10622523
2018-04-06,19685.439453125,20187.778985956214,19685.439453125,20156.38288217117,11535866
2018-04-09,19905.21484375,19968.00705381806,19654.0441312072,19654.0441312072,4586573
2018-04-10,20219.177734375,20470.348469778553,19936.61276335058,19968.00887124218,14620464
2018-04-11,19779.630859375,20533.14121265792,19779.630859375,20344.764560472577,12277102
2018-04-12,19968.0078125,19968.0078125,19497.06434682556,19779.629302867845,4028467
2018-04-13,19465.666015625,20062.193838022526,19465.666015625,20062.193838022526,7165064
2018-04-16,19183.1015625,19591.25281891665,19120.30934955446,19465.66839302557,3606023
2018-04-17,19465.666015625,19465.666015625,19120.307014333626,19308.68363016324,5875003
2018-04-18,19465.666015625,19748.23093936942,19434.269912986732,19559.854323539807,4355867
2018-04-19,19057.517578125,19497.064951197655,19057.517578125,19465.668843997515,7258431
2018-04-20,19245.89453125,19308.68674666145,18931.931581922036,19151.706208132826,3357488
2018-04-23,18209.818359375,19371.478033334068,17958.64763750052,19245.893608532144,9051366
2018-04-24,17707.478515625,18366.798607967976,17613.2883262012,18021.43957280232,5651113
2018-04-26,17267.9296875,18115.628213971293,17267.9296875,17864.457517425173,8960064
2018-04-27,17895.857421875,18021.441860689323,17236.53724582895,17267.933355532532,4953390
2018-05-02,17895.857421875,18209.820391181653,17833.065202467835,18147.02817177449,4183482
2018-05-03,18209.818359375,18209.818359375,17487.704172222668,17833.063212698595,14368081
2018-05-04,18460.986328125,18523.780409800413,18272.60969991038,18366.798014017688,3910383
2018-05-07,18712.158203125,18712.158203125,18398.195264281232,18460.987477595856,2680861
2018-05-08,18523.78125,18712.15788675899,18460.987165476377,18586.573462252996,6174286
2018-05-09,18335.404296875,18555.178930680733,18241.21597050288,18398.196514456413,3422051
2018-05-10,18304.0078125,18649.366874382056,18209.81948806055,18335.403920646484,4720696
2018-05-11,18680.76171875,18680.76171875,18209.81825614197,18209.81825614197,3571094
2018-05-14,19340.083984375,19371.480093915143,18712.15992130127,18869.140469001995,6472925
2018-05-15,19277.291015625,19465.669537810893,19151.70658234824,19465.669537810893,2863624
2018-05-16,18994.7265625,19277.29154513421,18994.7265625,19151.707108407893,2970582
2018-05-17,19026.12109375,19277.28994637194,18963.328880594516,18963.328880594516,2197412
2018-05-18,19088.912109375,19151.704318591255,18460.98627267136,19026.11990015874,2991952
2018-05-21,19151.705078125,19591.252432341254,19151.705078125,19214.49728983152,4688610
2018-05-22,18743.5546875,19308.68649099072,18680.762472919996,19151.705954540714,7187593
2018-05-23,19026.12109375,19151.70552006097,18680.76204912418,18837.742582012892,3593901
2018-05-24,18680.76171875,19214.49739340302,18680.76171875,19120.309075335535,4509745
2018-05-25,17655.67578125,18413.89487171652,17655.67578125,18413.89487171652,2580593
2018-05-28,16428.080078125,17402.93387296196,16428.080078125,17041.875871760967,5677613
2018-05-29,17114.087890625,17402.934298651202,16193.393241514907,16428.080479968565,6240551
2018-05-30,16410.02734375,17077.982293325535,16391.97491209022,17077.982293325535,4489533
2018-05-31,16608.609375,16861.349058459513,16247.553219278016,16265.60565260999,3305565
2018-06-01,16771.0859375,16861.349981371128,16500.293805886613,16608.610284077826,4172287
2018-06-04,17059.931640625,17132.141374793948,16734.980347782166,16789.137648408876,3798411
2018-06-05,17258.51171875,17366.82818954156,17041.87690489628,17150.195247958436,5033194
2018-06-06,17511.251953125,17511.251953125,17077.98418397235,17330.723872000617,2701555
2018-06-07,17258.51171875,17655.67460801319,17222.406852576343,17655.67460801319,3022119
2018-06-08,17312.673828125,17402.937881146936,17150.198158231335,17294.619519703883,2790099
2018-06-11,17150.1953125,17312.67095543409,17150.1953125,17240.459350544425,1916606
2018-06-12,16716.9296875,17150.19749982609,16500.294845201537,17150.19749982609,3390951
2018-06-13,16897.455078125,16933.559943252083,16608.608668026158,16608.608668026158,1702163
2018-06-14,16825.24609375,17059.933370406987,16825.24609375,16969.66932127289,1222246
2018-06-15,16789.13671875,16861.348321191042,16698.87268376633,16716.926988579497,1173764
2018-06-18,16391.9765625,16933.56080044503,16391.9765625,16933.56080044503,4354606
2018-06-19,16067.0244140625,16283.657348780465,15417.121865367531,16283.657348780465,17512396
2018-06-20,16391.9765625,16391.9765625,15886.49719150972,16211.446610914354,1727225
2018-06-21,16030.9189453125,16391.97698553105,15922.602469382278,16391.97698553105,928631
2018-06-22,16247.5546875,16247.5546875,15850.39175695353,15994.814981201482,996334
2018-06-25,16283.66015625,16391.97851455471,16211.448541470478,16391.97851455471,1623629
2018-06-26,16067.0244140625,16175.340881421482,15994.812811733,16067.0244140625,639451
2018-06-27,15994.814453125,16211.447410073895,15976.762018757714,16211.447410073895,1300915
